name,suffix,debut_tour,date_added,debut_game,debut_system,is_reverse,is_trick
Berlin Byways 2,T,Berlin Tour,2021-01-13,Mario Kart Tour,Mobile,FALSE,TRUE
Berlin Byways 2,R/T,Berlin Tour,2021-01-13,Mario Kart Tour,Mobile,TRUE,TRUE
SNES Donut Plains 2,,Cat Tour,2021-01-27,Super Mario Kart,SNES,FALSE,FALSE
SNES Donut Plains 2,R,Cat Tour,2021-01-27,Super Mario Kart,SNES,TRUE,FALSE
SNES Donut Plains 2,T,Cat Tour,2021-01-27,Super Mario Kart,SNES,FALSE,TRUE
RMX Choco Island 2,,Peach vs. Daisy Tour,2021-02-10,Mario Kart Tour,Mobile,FALSE,FALSE
RMX Choco Island 2,R,Peach vs. Daisy Tour,2021-02-10,Mario Kart Tour,Mobile,TRUE,FALSE
RMX Choco Island 2,T,Peach vs. Daisy Tour,2021-02-10,Mario Kart Tour,Mobile,FALSE,TRUE
Wii DK Summit,,Snow Tour,2021-02-24,Mario Kart Wii,Wii,FALSE,FALSE
Wii DK Summit,R,Snow Tour,2021-02-24,Mario Kart Wii,Wii,TRUE,FALSE
Wii DK Summit,T,Snow Tour,2021-02-24,Mario Kart Wii,Wii,FALSE,TRUE
Tokyo Blur 4,,Mario Tour,2021-03-10,Mario Kart Tour,Mobile,FALSE,FALSE
Tokyo Blur 4,R,Mario Tour,2021-03-10,Mario Kart Tour,Mobile,TRUE,FALSE
Tokyo Blur 4,T,Mario Tour,2021-03-10,Mario Kart Tour,Mobile,FALSE,TRUE
Tokyo Blur 4,R/T,Mario Tour,2021-03-10,Mario Kart Tour,Mobile,TRUE,TRUE
N64 Royal Raceway,R/T,Yoshi Tour (2021),2021-03-24,Mario Kart 64,N64,TRUE,TRUE
SNES Donut Plains 2,R/T,Yoshi Tour (2021),2021-03-24,Super Mario Kart,SNES,TRUE,TRUE
Ninja Hideaway,,Ninja Tour,2021-04-07,Mario Kart Tour,Mobile,FALSE,FALSE
Ninja Hideaway,R,Ninja Tour,2021-04-07,Mario Kart Tour,Mobile,TRUE,FALSE
Ninja Hideaway,T,Ninja Tour,2021-04-07,Mario Kart Tour,Mobile,FALSE,TRUE
Sydney Sprint,,Sydney Tour,2021-04-21,Mario Kart Tour,Mobile,FALSE,FALSE
Sydney Sprint,R,Sydney Tour,2021-04-21,Mario Kart Tour,Mobile,TRUE,FALSE
Sydney Sprint,T,Sydney Tour,2021-04-21,Mario Kart Tour,Mobile,FALSE,TRUE
Sydney Sprint,R/T,Sydney Tour,2021-04-21,Mario Kart Tour,Mobile,TRUE,TRUE
RMX Choco Island 1,R/T,Trick Tour (2021),2021-05-19,Mario Kart Tour,Mobile,TRUE,TRUE
